horizon_hours,track,target,rank,model,ablated_feature,feature_group,delta_mae,delta_wape_pct
24,flow,ingressi_borgo,3,xgboost,hour_cos,calendar,0.246,0.4876
24,flow,ingressi_borgo,4,xgboost,entra_arcoribellino_roll3h_mean,pedoni,0.2191,0.4342
24,flow,ingressi_borgo,5,xgboost,tim_Vi_mean15_roll3h_mean,tim,0.1908,0.3783
24,flow,uscite_borgo,1,xgboost,tim_Vp_mean15_lag24h,tim,4.9537,9.1347
24,flow,uscite_borgo,2,xgboost,entra_arcoribellino_roll3h_mean,pedoni,1.0631,1.9604
24,flow,uscite_borgo,3,xgboost,uscita_all_cameras_lag1h,pedoni,0.9556,1.7621
24,flow,uscite_borgo,4,xgboost,meteo_erg5_rad_std_roll3h_mean,meteo,0.9004,1.6603
24,flow,uscite_borgo,5,xgboost,ingressi_borgo_lag1h,target_history,0.7586,1.3989
24,nationality,tim_Ni_mean15,1,xgboost,tim_Gf_mean15_lag24h,tim,16.6594,0.3516
24,nationality,tim_Ni_mean15,2,xgboost,tim_Tc_mean15_lag1h,tim,9.8913,0.2088
24,nationality,tim_Ni_mean15,3,xgboost,tim_Tb_max15_roll24h_mean,tim,4.8769,0.1029
24,nationality,tim_Ni_mean15,4,xgboost,tim_Gf_mean15_roll24h_mean,tim,4.1979,0.0886
24,nationality,tim_Ni_mean15,5,xgboost,meteo_erg5_cell01624_tavg,meteo,4.0729,0.086
24,nationality,tim_Ns_mean15,1,random_forest,tim_Tb_max15_roll24h_mean,tim,1.0963,0.9223
24,nationality,tim_Ns_mean15,2,random_forest,meteo_erg5_tavg_min_roll24h_mean,meteo,1.0764,0.9055
24,nationality,tim_Ns_mean15,3,random_forest,meteo_erg5_tavg_mean_roll3h_mean,meteo,0.5478,0.4608
24,nationality,tim_Ns_mean15,4,random_forest,event_sport_motor_intensity_roll24h_mean,events,0.5427,0.4565
24,nationality,tim_Ns_mean15,5,random_forest,event_sport_motor_intensity_lag1h,events,0.4812,0.4048
24,age,tim_F1_mean15,1,two_stage_ridge,tim_Tb_max15_roll24h_mean,tim,0.6459,0.942
24,age,tim_F1_mean15,2,two_stage_ridge,tim_Ni_mean15_roll24h_mean,tim,0.3365,0.4908
24,age,tim_F1_mean15,3,two_stage_ridge,tim_Ni_mean15_lag24h,tim,0.125,0.1823
24,age,tim_F1_mean15,4,two_stage_ridge,tim_Ni_mean15_lag1h,tim,0.0723,0.1055
24,age,tim_F1_mean15,5,two_stage_ridge,tim_F6_mean15_lag24h,target_history,0.0178,0.0259
24,age,tim_F2_mean15,1,extra_trees,meteo_erg5_tavg_min_roll24h_mean,meteo,0.5326,0.146
24,age,tim_F2_mean15,2,extra_trees,tim_F4_mean15_lag2h,target_history,0.3496,0.0958
24,age,tim_F2_mean15,3,extra_trees,tim_Vr_max15_lag24h,tim,0.2853,0.0782
24,age,tim_F2_mean15,4,extra_trees,tim_Vr_mean15_lag1h,tim,0.186,0.051
24,age,tim_F2_mean15,5,extra_trees,tim_Ni_mean15_lag24h,tim,0.1456,0.0399
24,age,tim_F3_mean15,1,hist_gradient_boosting,meteo_erg5_tavg_min_roll24h_mean,meteo,4.9017,1.0992
24,age,tim_F3_mean15,2,hist_gradient_boosting,tim_Ni_mean15_lag1h,tim,3.5549,0.7972
24,age,tim_F3_mean15,3,hist_gradient_boosting,tim_Ni_mean15_lag24h,tim,2.1554,0.4833
24,age,tim_F3_mean15,4,hist_gradient_boosting,tim_F6_mean15_lag24h,target_history,1.3108,0.2939
24,age,tim_F3_mean15,5,hist_gradient_boosting,tim_F4_mean15_lag2h,target_history,1.0027,0.2249
24,age,tim_F4_mean15,1,random_forest,meteo_erg5_tavg_min_roll24h_mean,meteo,1.0861,0.1641
24,age,tim_F4_mean15,2,random_forest,tim_F4_mean15_lag2h,target_history,0.9715,0.1467
24,age,tim_F4_mean15,3,random_forest,tim_Ni_mean15_lag24h,tim,0.8159,0.1232
24,age,tim_F4_mean15,4,random_forest,tim_Vr_max15_lag24h,tim,0.6987,0.1055
24,age,tim_F4_mean15,5,random_forest,tim_Ni_mean15_lag1h,tim,0.5556,0.0839
24,age,tim_F5_mean15,1,random_forest,tim_F6_mean15_lag24h,target_history,1.2099,0.1382
24,age,tim_F5_mean15,2,random_forest,tim_F6_mean15_lag1h,target_history,1.1039,0.1261
24,age,tim_F5_mean15,3,random_forest,tim_Ni_mean15_roll24h_mean,tim,0.799,0.0913
24,age,tim_F5_mean15,4,random_forest,tim_Ni_mean15_lag24h,tim,0.7764,0.0887
24,age,tim_F5_mean15,5,random_forest,tim_Vr_max15_lag24h,tim,0.6093,0.0696
24,age,tim_F6_mean15,1,xgboost,tim_F6_mean15_lag24h,target_history,13.2756,0.8658
24,age,tim_F6_mean15,2,xgboost,tim_Ni_mean15_roll24h_mean,tim,7.4548,0.4862
24,age,tim_F6_mean15,3,xgboost,tim_F6_mean15_lag1h,target_history,6.11,0.3985
24,age,tim_F6_mean15,4,xgboost,tim_Tb_max15_roll24h_mean,tim,3.5082,0.2288
24,age,tim_F6_mean15,5,xgboost,tim_F4_mean15_lag2h,target_history,2.3122,0.1508
